=== 回测：2026-06-30收盘推荐 → 7/1开盘买入 → 至今(8/28) ===
策略,只数,胜率%,平均收益%
一直持有(无规则),65,32.3,-11.12
有规则(止损+20日+双确认),65,20.0,-6.25
持有·抄底,23,69.6,5.84
规则·抄底,23,43.5,-0.4
持有·趋势,42,11.9,-20.41
规则·趋势,42,7.1,-9.46

== 有规则明细（按收益排序）==
名称,代码,类型,买入日,买入价,卖出日,卖出价,收益%,卖出原因,持有天数
中国人寿,601628,趋势,2026-07-01,35.25,2026-07-28,40.2,14.04,20日到期离场,20
锐捷网络,301165,抄底,2026-07-01,85.27,2026-07-17,96.09,12.69,移动止损(自最高回撤≥10%),13
牧原股份,002714,抄底,2026-07-01,35.0,2026-07-28,39.3,12.29,20日到期离场,20
中国神华,601088,抄底,2026-07-01,38.97,2026-07-02,40.77,4.62,破MA20+大盘转弱双确认,2
百利天恒,688506,趋势,2026-07-01,291.91,2026-07-08,304.0,4.14,移动止损(自最高回撤≥10%),6
荣盛石化,002493,抄底,2026-07-01,10.74,2026-07-02,11.11,3.45,破MA20+大盘转弱双确认,2
中国石化,600028,抄底,2026-07-01,4.46,2026-07-02,4.6,3.14,破MA20+大盘转弱双确认,2
恒瑞医药,600276,趋势,2026-07-01,51.61,2026-07-17,53.19,3.06,破MA20+大盘转弱双确认,13
三花智控,002050,抄底,2026-07-01,43.83,2026-07-02,44.92,2.49,破MA20+大盘转弱双确认,2
海天味业,603288,抄底,2026-07-01,33.16,2026-07-02,33.56,1.21,破MA20+大盘转弱双确认,2
华能国际,600011,抄底,2026-07-01,7.54,2026-07-02,7.61,0.93,破MA20+大盘转弱双确认,2
宝丰能源,600989,抄底,2026-07-01,20.44,2026-07-02,20.54,0.49,破MA20+大盘转弱双确认,2
包钢股份,600010,抄底,2026-07-01,2.21,2026-07-02,2.22,0.45,破MA20+大盘转弱双确认,2
泸州老窖,000568,抄底,2026-07-01,77.21,2026-07-02,77.17,-0.05,破MA20+大盘转弱双确认,2
五 粮 液,000858,抄底,2026-07-01,73.87,2026-07-02,73.5,-0.5,破MA20+大盘转弱双确认,2
中航沈飞,600760,抄底,2026-07-01,41.0,2026-07-02,40.78,-0.54,破MA20+大盘转弱双确认,2
兖矿能源,600188,抄底,2026-07-01,17.95,2026-07-02,17.82,-0.72,破MA20+大盘转弱双确认,2
山西汾酒,600809,抄底,2026-07-01,110.0,2026-07-02,109.17,-0.75,破MA20+大盘转弱双确认,2
百济神州,688235,趋势,2026-07-01,253.53,2026-07-17,250.51,-1.19,破MA20+大盘转弱双确认,13
中信证券,600030,趋势,2026-07-01,28.66,2026-07-13,28.12,-1.88,破MA20+大盘转弱双确认,9
中金公司,601995,趋势,2026-07-01,36.18,2026-07-13,35.37,-2.24,破MA20+大盘转弱双确认,9
东方财富,300059,趋势,2026-07-01,20.32,2026-07-13,19.84,-2.36,破MA20+大盘转弱双确认,9
华泰证券,601688,趋势,2026-07-01,20.6,2026-07-08,20.03,-2.77,破MA20+大盘转弱双确认,6
润泽科技,300442,抄底,2026-07-01,83.4,2026-07-06,80.95,-2.94,移动止损(自最高回撤≥10%),4
盐湖股份,000792,抄底,2026-07-01,30.32,2026-07-03,29.41,-3.0,破MA20+大盘转弱双确认,3
世纪华通,002602,抄底,2026-07-01,14.21,2026-07-02,13.65,-3.94,破MA20+大盘转弱双确认,2
恒力石化,600346,抄底,2026-07-01,17.71,2026-07-07,17.0,-4.01,破MA20+大盘转弱双确认,5
招商轮船,601872,抄底,2026-07-01,17.22,2026-07-02,16.53,-4.01,破MA20+大盘转弱双确认,2
药明康德,603259,趋势,2026-07-01,123.0,2026-07-17,117.89,-4.15,移动止损(自最高回撤≥10%),13
海康威视,002415,趋势,2026-07-01,34.82,2026-07-13,33.19,-4.68,破MA20+大盘转弱双确认,9
北方华创,002371,趋势,2026-07-01,884.56,2026-07-02,841.82,-4.83,移动止损(自最高回撤≥10%),2
中船特气,688146,趋势,2026-07-01,349.99,2026-07-03,330.14,-5.67,移动止损(自最高回撤≥10%),3
中远海能,600026,抄底,2026-07-01,17.51,2026-07-02,16.5,-5.77,破MA20+大盘转弱双确认,2
中信建投,601066,趋势,2026-07-01,29.0,2026-07-10,27.25,-6.03,破MA20+大盘转弱双确认,8
大族数控,301200,趋势,2026-07-01,360.65,2026-07-07,336.63,-6.66,移动止损(自最高回撤≥10%),5
巨化股份,600160,趋势,2026-07-01,53.11,2026-07-03,49.35,-7.08,移动止损(自最高回撤≥10%),3
华勤技术,603296,抄底,2026-07-01,74.96,2026-07-02,68.67,-8.39,破MA20+大盘转弱双确认,2
京东方Ａ,000725,趋势,2026-07-01,8.49,2026-07-06,7.76,-8.6,移动止损(自最高回撤≥10%),4
中芯国际,688981,趋势,2026-07-01,160.19,2026-07-02,144.1,-10.04,移动止损(自最高回撤≥10%),2
深南电路,002916,趋势,2026-07-01,459.0,2026-07-07,412.1,-10.22,移动止损(自最高回撤≥10%),5
中微公司,688012,趋势,2026-07-01,460.01,2026-07-02,408.9,-11.11,移动止损(自最高回撤≥10%),2
寒武纪,688256,趋势,2026-07-01,1560.0,2026-07-02,1372.0,-12.05,移动止损(自最高回撤≥10%),2
西安奕材-U,688783,趋势,2026-07-01,61.5,2026-07-03,53.99,-12.21,移动止损(自最高回撤≥10%),3
海光信息,688041,趋势,2026-07-01,368.0,2026-07-02,322.29,-12.42,移动止损(自最高回撤≥10%),2
华海清科,688120,趋势,2026-07-01,322.19,2026-07-02,281.0,-12.78,移动止损(自最高回撤≥10%),2
拓荆科技,688072,趋势,2026-07-13,890.99,2026-07-15,774.0,-13.13,移动止损(自最高回撤≥10%),3
宏和科技,603256,趋势,2026-07-01,268.55,2026-07-02,233.23,-13.15,移动止损(自最高回撤≥10%),2
长飞光纤,601869,趋势,2026-07-01,535.0,2026-07-02,464.37,-13.2,移动止损(自最高回撤≥10%),2
协创数据,300857,趋势,2026-07-01,339.0,2026-07-02,293.59,-13.4,移动止损(自最高回撤≥10%),2
立讯精密,002475,趋势,2026-07-01,70.4,2026-07-02,60.9,-13.49,移动止损(自最高回撤≥10%),2
中国巨石,600176,趋势,2026-07-01,73.96,2026-07-06,63.81,-13.72,移动止损(自最高回撤≥10%),4
长川科技,300604,趋势,2026-07-01,349.91,2026-07-02,301.46,-13.85,移动止损(自最高回撤≥10%),2
长电科技,600584,趋势,2026-07-01,105.5,2026-07-03,90.88,-13.86,移动止损(自最高回撤≥10%),3
中天科技,600522,趋势,2026-07-01,60.1,2026-07-02,51.58,-14.18,移动止损(自最高回撤≥10%),2
盛科通信-U,688702,趋势,2026-07-01,380.0,2026-07-03,323.64,-14.83,移动止损(自最高回撤≥10%),3
盛美上海,688082,趋势,2026-07-01,435.0,2026-07-02,370.0,-14.94,移动止损(自最高回撤≥10%),2
国际复材,301526,趋势,2026-07-01,48.0,2026-07-06,40.66,-15.29,移动止损(自最高回撤≥10%),4
光迅科技,002281,趋势,2026-07-01,258.0,2026-07-02,218.19,-15.43,移动止损(自最高回撤≥10%),2
江波龙,301308,趋势,2026-07-01,708.66,2026-07-02,599.22,-15.44,移动止损(自最高回撤≥10%),2
东山精密,002384,趋势,2026-07-01,262.35,2026-07-02,221.68,-15.5,移动止损(自最高回撤≥10%),2
三环集团,300408,趋势,2026-07-01,175.45,2026-07-02,148.2,-15.53,移动止损(自最高回撤≥10%),2
佰维存储,688525,趋势,2026-07-01,499.1,2026-07-02,418.8,-16.09,移动止损(自最高回撤≥10%),2
新易盛,300502,抄底,2026-07-01,608.0,2026-07-02,509.0,-16.28,移动止损(自最高回撤≥10%),2
华虹宏力,688347,趋势,2026-07-01,340.0,2026-07-02,284.5,-16.32,移动止损(自最高回撤≥10%),2
中科飞测,688361,趋势,2026-07-01,435.0,2026-07-02,356.0,-18.16,移动止损(自最高回撤≥10%),2

== 一直持有明细（按收益排序）==
名称,代码,类型,买入日,买入价,现价,收益%,持有天数
锐捷网络,301165,抄底,2026-07-01,85.27,120.25,41.02,42
荣盛石化,002493,抄底,2026-07-01,10.74,14.37,33.8,42
药明康德,603259,趋势,2026-07-01,123.0,159.94,30.03,42
兖矿能源,600188,抄底,2026-07-01,17.95,22.68,26.35,42
中国神华,601088,抄底,2026-07-01,38.97,47.8,22.66,42
中国石化,600028,抄底,2026-07-01,4.46,5.29,18.61,42
宝丰能源,600989,抄底,2026-07-01,20.44,24.0,17.42,42
牧原股份,002714,抄底,2026-07-01,35.0,40.8,16.57,42
百济神州,688235,趋势,2026-07-01,253.53,279.75,10.34,42
中航沈飞,600760,抄底,2026-07-01,41.0,45.13,10.07,42
中国人寿,601628,趋势,2026-07-01,35.25,38.61,9.53,42
招商轮船,601872,抄底,2026-07-01,17.22,18.62,8.13,42
恒力石化,600346,抄底,2026-07-01,17.71,18.9,6.72,42
中远海能,600026,抄底,2026-07-01,17.51,18.61,6.28,42
泸州老窖,000568,抄底,2026-07-01,77.21,81.93,6.11,42
山西汾酒,600809,抄底,2026-07-01,110.0,116.39,5.81,42
华勤技术,603296,抄底,2026-07-01,74.96,78.49,4.71,42
海天味业,603288,抄底,2026-07-01,33.16,34.1,2.83,42
包钢股份,600010,抄底,2026-07-01,2.21,2.27,2.71,42
海康威视,002415,趋势,2026-07-01,34.82,35.29,1.35,42
盛科通信-U,688702,趋势,2026-07-01,380.0,380.4,0.11,42
世纪华通,002602,抄底,2026-07-01,14.21,13.92,-2.04,42
中信证券,600030,趋势,2026-07-01,28.66,27.93,-2.55,42
东方财富,300059,趋势,2026-07-01,20.32,19.62,-3.44,42
中金公司,601995,趋势,2026-07-01,36.18,34.86,-3.65,42
五 粮 液,000858,抄底,2026-07-01,73.87,71.12,-3.72,42
华泰证券,601688,趋势,2026-07-01,20.6,19.3,-6.31,42
百利天恒,688506,趋势,2026-07-01,291.91,271.99,-6.82,42
盐湖股份,000792,抄底,2026-07-01,30.32,28.21,-6.96,42
恒瑞医药,600276,趋势,2026-07-01,51.61,47.61,-7.75,42
华能国际,600011,抄底,2026-07-01,7.54,6.76,-10.34,42
中信建投,601066,趋势,2026-07-01,29.0,25.78,-11.1,42
中科飞测,688361,趋势,2026-07-01,435.0,373.71,-14.09,42
三花智控,002050,抄底,2026-07-01,43.83,36.82,-15.99,42
华海清科,688120,趋势,2026-07-01,322.19,267.1,-17.1,42
中微公司,688012,趋势,2026-07-01,460.01,376.01,-18.26,42
长川科技,300604,趋势,2026-07-01,349.91,284.8,-18.61,42
立讯精密,002475,趋势,2026-07-01,70.4,57.18,-18.78,42
北方华创,002371,趋势,2026-07-01,884.56,718.0,-18.83,42
长飞光纤,601869,趋势,2026-07-01,535.0,426.82,-20.22,42
深南电路,002916,趋势,2026-07-01,459.0,365.1,-20.46,42
中芯国际,688981,趋势,2026-07-01,160.19,126.33,-21.14,42
大族数控,301200,趋势,2026-07-01,360.65,282.4,-21.7,42
拓荆科技,688072,趋势,2026-07-13,890.99,693.0,-22.22,34
东山精密,002384,趋势,2026-07-01,262.35,200.6,-23.54,42
协创数据,300857,趋势,2026-07-01,339.0,259.2,-23.54,42
润泽科技,300442,抄底,2026-07-01,83.4,63.69,-23.63,42
巨化股份,600160,趋势,2026-07-01,53.11,39.54,-25.55,42
华虹宏力,688347,趋势,2026-07-01,340.0,252.72,-25.67,42
中船特气,688146,趋势,2026-07-01,349.99,258.5,-26.14,42
长电科技,600584,趋势,2026-07-01,105.5,76.54,-27.45,42
盛美上海,688082,趋势,2026-07-01,435.0,307.01,-29.42,42
京东方Ａ,000725,趋势,2026-07-01,8.49,5.94,-30.04,42
光迅科技,002281,趋势,2026-07-01,258.0,176.38,-31.64,42
新易盛,300502,抄底,2026-07-01,608.0,409.1,-32.71,42
寒武纪,688256,趋势,2026-07-01,1560.0,1048.0,-32.82,42
海光信息,688041,趋势,2026-07-01,368.0,245.97,-33.16,42
国际复材,301526,趋势,2026-07-01,48.0,31.14,-35.12,42
三环集团,300408,趋势,2026-07-01,175.45,112.48,-35.89,42
中天科技,600522,趋势,2026-07-01,60.1,36.08,-39.97,42
中国巨石,600176,趋势,2026-07-01,73.96,42.64,-42.35,42
江波龙,301308,趋势,2026-07-01,708.66,386.25,-45.5,42
宏和科技,603256,趋势,2026-07-01,268.55,140.76,-47.59,42
西安奕材-U,688783,趋势,2026-07-01,61.5,32.0,-47.97,42
佰维存储,688525,趋势,2026-07-01,499.1,238.44,-52.23,42
